bv_id,tyc2_id,x,y,dist,label,uid,date,n_view,link
BV1uh5R6rETU,TYC 2418-1573-1,0.008512139,0.842064,1.0,36,3537108226541988,2026-05-15,22775,//player.bilibili.com/player.html?isOutside=true&aid=116573549436818&bvid=BV1uh5R6rETU&cid=38335680186&p=1
BV1SCPvzyE1V,TYC 7689-2617-1,-0.55501294,0.5226264,1.0,18,3546754521762726,2026-03-04,357,//player.bilibili.com/player.html?isOutside=true&aid=116170493595526&bvid=BV1SCPvzyE1V&cid=36449157518&p=1
BV1QJfGBPEDp,TYC 2286-1329-1,0.8289031,0.25558436,1.0,24,412412152,2026-02-20,24196,//player.bilibili.com/player.html?isOutside=true&aid=116102881351571&bvid=BV1QJfGBPEDp&cid=36185572970&p=1
BV1eetSznEc8,TYC 4252-1870-1,0.3790946,-0.3190143,1.0,19,15817819,2025-08-12,202446,//player.bilibili.com/player.html?isOutside=true&aid=115010751696688&bvid=BV1eetSznEc8&cid=31630888742&p=1
BV19r421M7R7,TYC 8446-1644-1,0.690552,-0.2427795,1.0,7,15817819,2024-08-12,180727,//player.bilibili.com/player.html?isOutside=true&aid=1406381336&bvid=BV19r421M7R7&cid=1644956992&p=1
BV1uP4y1g7c3,TYC 6232-1333-1,-0.21153581,-1.0,-1.0,13,15817819,2022-03-04,1265901,//player.bilibili.com/player.html?isOutside=true&aid=894476130&bvid=BV1uP4y1g7c3&cid=540702279&p=1
BV1phtZzxEzB,TYC 3523-1684-1,-0.0022812486,-0.6631967,1.0,1,165717806,2025-08-13,24986,//player.bilibili.com/player.html?isOutside=true&aid=115016472856762&bvid=BV1phtZzxEzB&cid=31652250229&p=1
BV13Sb5z7EwR,TYC 4416-1799-1,-0.20511454,-0.19907445,1.0,33,11218480,2025-08-12,43511,//player.bilibili.com/player.html?isOutside=true&aid=115009862570822&bvid=BV13Sb5z7EwR&cid=31626692911&p=1
BV1fqtdzkEtn,TYC 3156-2223-1,0.47751546,-0.6613498,1.0,35,83968695,2025-08-12,50057,//player.bilibili.com/player.html?isOutside=true&aid=115015633936261&bvid=BV1fqtdzkEtn&cid=31641505452&p=1
BV1z3bLzwEwR,TYC 2695-4139-1,0.5901121,-0.661118,1.0,7,2577707,2025-08-12,16409,//player.bilibili.com/player.html?isOutside=true&aid=115009560510650&bvid=BV1z3bLzwEwR&cid=31625249396&p=1
BV1hBtSzmE9J,TYC 1212-1935-1,0.8762413,0.4728334,1.0,15,52699238,2025-08-12,11720,//player.bilibili.com/player.html?isOutside=true&aid=115010634254472&bvid=BV1hBtSzmE9J&cid=31630690157&p=1
BV12Jt9zjEj2,TYC 8595-3312-1,-0.40259588,0.35086966,1.0,17,397095972,2025-08-12,6574,//player.bilibili.com/player.html?isOutside=true&aid=115014660788426&bvid=BV12Jt9zjEj2&cid=31651006607&p=1
BV1GhbMzKEYV,TYC 4628-237-1,0.01821065,0.0056294203,1.0,31,22136641,2025-08-12,20449,//player.bilibili.com/player.html?isOutside=true&aid=115005349497366&bvid=BV1GhbMzKEYV&cid=31611816724&p=1
BV1DvbMzaESm,TYC 9228-3049-1,-0.36478317,-0.06377894,1.0,18,108845996,2025-08-12,21045,//player.bilibili.com/player.html?isOutside=true&aid=115005366214193&bvid=BV1DvbMzaESm&cid=31611948924&p=1
BV13ZtAzEEDW,TYC 1758-2416-1,0.8332765,0.5099238,1.0,34,415347588,2025-08-12,23490,//player.bilibili.com/player.html?isOutside=true&aid=114981978772598&bvid=BV13ZtAzEEDW&cid=31526816164&p=1
BV1nEh3zZEVV,TYC 3664-1985-1,0.5501648,0.019007683,1.0,7,142379467,2025-08-12,5858,//player.bilibili.com/player.html?isOutside=true&aid=114964144592084&bvid=BV1nEh3zZEVV&cid=31459705771&p=1
BV1eobVzXEnr,TYC 5460-1592-1,-0.8164552,0.6443858,1.0,2,391558321,2025-08-11,1494,//player.bilibili.com/player.html?isOutside=true&aid=115010365886215&bvid=BV1eobVzXEnr&cid=31639209498&p=1
BV1g7tUzVEfF,TYC 7064-1357-1,0.085284114,0.87246203,1.0,22,399950312,2025-08-12,2315,//player.bilibili.com/player.html?isOutside=true&aid=115011523446865&bvid=BV1g7tUzVEfF&cid=31633575849&p=1
BV1LobVzXEhy,TYC 5585-1014-1,-0.6746026,-0.7956415,1.0,27,12565885,2025-08-11,39683,//player.bilibili.com/player.html?isOutside=true&aid=115010365822272&bvid=BV1LobVzXEhy&cid=31632265007&p=1
BV1Cgt1znEFv,TYC 5847-2333-1,0.9966974,0.1879853,1.0,28,1140820296,2025-08-11,4108,//player.bilibili.com/player.html?isOutside=true&aid=114992162544593&bvid=BV1Cgt1znEFv&cid=31564170608&p=1
BV15t411K79t,TYC 2019-1251-1,-0.70159245,-0.62549555,-0.9576186,3,15817819,2019-08-09,546287,//player.bilibili.com/player.html?isOutside=true&aid=62895776&bvid=BV15t411K79t&cid=109261669&p=1
BV1sZ421z7db,TYC 6885-2837-1,0.25526297,-0.8884206,0.45105958,35,12836485,2024-02-02,685301,//player.bilibili.com/player.html?isOutside=true&aid=1150213907&bvid=BV1sZ421z7db&cid=31349999925&p=1
BV1Np8ozfE92,TYC 7387-1249-1,-0.099707484,-0.8397738,1.0,3,238662476,2025-07-29,56760,//player.bilibili.com/player.html?isOutside=true&aid=114936579626826&bvid=BV1Np8ozfE92&cid=31358976453&p=1
BV1U7411r7mv,TYC 6208-1623-1,-0.47014874,-0.8786782,-0.7416751,3,15817819,2020-01-25,476371,//player.bilibili.com/player.html?isOutside=true&aid=84962721&bvid=BV1U7411r7mv&cid=145276863&p=1
BV1bY411L7Pn,TYC 5632-1042-1,-0.3607207,-0.97816795,1.0,2,15817819,2022-02-11,418321,//player.bilibili.com/player.html?isOutside=true&aid=253925535&bvid=BV1bY411L7Pn&cid=506027626&p=1
BV1MBKRzqE1B,TYC 9275-3641-1,-0.10861379,-0.3641814,0.87285566,30,358196342,2025-06-26,16600,//player.bilibili.com/player.html?isOutside=true&aid=114748154710038&bvid=BV1MBKRzqE1B&cid=30703815738&p=1
BV1gdbXzoEEN,TYC 1711-2475-1,1.0,-0.24709725,1.0,20,291340927,2025-07-27,90892,//player.bilibili.com/player.html?isOutside=true&aid=114914635090562&bvid=BV1gdbXzoEEN&cid=31385979664&p=1
BV1rcFHeQEhj,TYC 3833-1034-1,-0.61939144,0.014161468,1.0,8,409607125,2025-01-28,4563,//player.bilibili.com/player.html?isOutside=true&aid=113902666908455&bvid=BV1rcFHeQEhj&cid=28117044182&p=1
BV1cPCrYeEKP,TYC 8241-3235-1,-0.6625879,-0.027236879,1.0,33,15817819,2024-12-27,231772,//player.bilibili.com/player.html?isOutside=true&aid=113719459710903&bvid=BV1cPCrYeEKP&cid=27546027854&p=1
BV1LK411o7zA,TYC 1125-2186-1,0.8730134,-0.5864469,1.0,23,110090,2022-11-29,432891,//player.bilibili.com/player.html?isOutside=true&aid=475529064&bvid=BV1LK411o7zA&cid=905275677&p=1
