src,dst,src_bv_id,src_page,dst_bv_id,dst_page,similarity,rank
0,64,BV1fW1KBFEdh,1,BV1tX4y1e7gy,1,0.45488,2
0,218,BV1fW1KBFEdh,1,BV1xV4y1Y7YJ,1,0.46479,1
0,2981,BV1fW1KBFEdh,1,BV1AxSBY5EiH,1,0.38761,4
0,3711,BV1fW1KBFEdh,1,BV1bdVhzpEWM,1,0.46183,2
0,4427,BV1fW1KBFEdh,1,BV1Zkx1zrEjH,1,0.44279,4
0,4598,BV1fW1KBFEdh,1,BV1gUpRzUE6y,1,0.42251,2
1,485,BV1wZsbzeE5F,1,BV1Bm4y1j7k7,1,0.4194,3
1,1834,BV1wZsbzeE5F,1,BV1NG41127je,1,0.36895,1
1,1897,BV1wZsbzeE5F,1,BV1a841197xq,1,0.4294,1
1,2178,BV1wZsbzeE5F,1,BV1dH4y1P768,1,0.44056,1
1,3986,BV1wZsbzeE5F,1,BV1ErXKY9EmK,1,0.38837,4
1,5161,BV1wZsbzeE5F,1,BV1Fnb9z6EyM,1,0.39369,4
1,5350,BV1wZsbzeE5F,1,BV1SUP5zDEMP,1,0.38,2
2,285,BV1pcsazuEjm,1,BV1nh4y1Q7iK,1,0.35751,4
2,2100,BV1pcsazuEjm,1,BV11i421D7Be,1,0.51414,2
2,2182,BV1pcsazuEjm,1,BV1tZ42177hZ,1,0.40033,3
2,2736,BV1pcsazuEjm,1,BV1RS6NYLEtc,1,0.46851,1
2,2937,BV1pcsazuEjm,1,BV1RPD2YWEWX,1,0.45983,1
2,3580,BV1pcsazuEjm,1,BV1UgEzz9E6u,1,0.55585,1
2,4996,BV1pcsazuEjm,1,BV1FEtmz9Ek5,1,0.51189,3
2,5340,BV1pcsazuEjm,1,BV1o1Paz1ErB,1,0.50286,4
2,5430,BV1pcsazuEjm,1,BV1EaFWzUEg9,1,0.42629,4
3,2941,BV15WHLzBE3R,1,BV1nBmzYTEsV,1,0.41158,1
3,3192,BV15WHLzBE3R,1,BV1Y6xbebESc,1,0.37263,4
3,3763,BV15WHLzBE3R,1,BV16mGYzkEhw,1,0.45024,1
3,5388,BV15WHLzBE3R,1,BV1CQfCBCEou,1,0.37794,3
4,1907,BV18XnJz3ECq,1,BV1rx411y7Gc,1,0.45503,2
4,1911,BV18XnJz3ECq,1,BV1d94y1H7cu,1,0.38428,4
4,2104,BV18XnJz3ECq,1,BV1ur421j7BJ,1,0.48344,3
4,2969,BV18XnJz3ECq,1,BV1xYD8Y8E2o,1,0.51873,1
4,3260,BV18XnJz3ECq,1,BV1hKtRevEqM,1,0.44041,2
4,4094,BV18XnJz3ECq,1,BV1PFN1euEEx,1,0.4538,3
4,4229,BV18XnJz3ECq,1,BV15xNVewEiP,1,0.44456,2
4,4546,BV18XnJz3ECq,1,BV1yunVzjE3D,1,0.49112,2
4,5475,BV18XnJz3ECq,1,BV12eZMB5EDa,1,0.47648,4
5,1261,BV1YoxLzSEhQ,1,BV1MT4y187Xh,1,0.45992,1
5,1586,BV1YoxLzSEhQ,1,BV1Kb4y1V7FA,1,0.4023,4
5,2135,BV1YoxLzSEhQ,1,BV1DT421S7q2,1,0.42508,1
5,3724,BV1YoxLzSEhQ,1,BV1kELNzzEeP,1,0.42698,3
5,3798,BV1YoxLzSEhQ,1,BV1sSLqzBEYq,1,0.40563,2
5,4933,BV1YoxLzSEhQ,1,BV1duJ6zME1X,1,0.37112,4
5,5094,BV1YoxLzSEhQ,1,BV1W1huzaEok,1,0.51456,1
5,5512,BV1YoxLzSEhQ,1,BV1RGZQBEEtf,1,0.42876,3
5,5769,BV1YoxLzSEhQ,1,BV1afBtBcE6k,1,0.38772,2
6,236,BV1o1HnzZEen,1,BV1Fp4y1g74A,1,0.48691,4
6,535,BV1o1HnzZEen,1,BV1FW4y1f7u1,1,0.49042,3
6,636,BV1o1HnzZEen,1,BV1zv4y197JW,1,0.50066,2
6,981,BV1o1HnzZEen,1,BV1gb4y1W7aL,1,0.55443,1
7,542,BV17PstzDEYX,1,BV1vW4y1f79n,1,0.58365,3
7,849,BV17PstzDEYX,1,BV1sB4y1t7Fj,1,0.43554,2
7,854,BV17PstzDEYX,1,BV1HT411A7qx,1,0.46287,2
7,1054,BV17PstzDEYX,1,BV13Rs5zuEPL,1,0.45313,3
7,1486,BV17PstzDEYX,1,BV1nC4y1D7ne,1,0.53644,2
7,1516,BV17PstzDEYX,1,BV1NQ4y137U6,1,0.58214,4
7,2451,BV17PstzDEYX,1,BV1j9ycB3ENV,1,0.58574,2
7,3850,BV17PstzDEYX,1,BV1avouYFEZw,1,0.49609,2
7,3860,BV17PstzDEYX,1,BV1M8dkYUEUS,1,0.56697,1
7,3998,BV17PstzDEYX,1,BV15TQCYUEVk,1,0.54908,1
7,4164,BV17PstzDEYX,1,BV11HAeeqEzp,1,0.47963,2
7,4322,BV17PstzDEYX,1,BV15RFHe1EWs,1,0.4096,2
7,5264,BV17PstzDEYX,1,BV1Kqu5zoEAv,1,0.49764,1
7,5322,BV17PstzDEYX,1,BV1sjPxzGEy2,1,0.5121,2
7,5417,BV17PstzDEYX,1,BV1ugZRB7EZZ,1,0.50037,2
7,5552,BV17PstzDEYX,1,BV1cEZjBtEqF,1,0.60643,1
8,781,BV1eGxfzzEym,1,BV1DS4y1A7a4,1,0.39702,4
8,899,BV1eGxfzzEym,1,BV1f44y1J7mh,1,0.39772,3
8,2929,BV1eGxfzzEym,1,BV1dMmaYCEfz,1,0.41878,2
8,2994,BV1eGxfzzEym,1,BV1tCSaYqEea,1,0.45879,1
9,1179,BV1DrnBzhEqf,1,BV1c7421N7hw,1,0.50109,1
9,2110,BV1DrnBzhEqf,1,BV1NE42157kP,1,0.38748,4
9,2435,BV1DrnBzhEqf,1,BV1Xw19BSExh,1,0.43296,4
9,2436,BV1DrnBzhEqf,1,BV1DAUPB2EcV,1,0.40815,2
9,2537,BV1DrnBzhEqf,1,BV1qickeGE7y,1,0.41405,3
9,2608,BV1DrnBzhEqf,1,BV1xY68YPEct,1,0.42247,3
9,3295,BV1DrnBzhEqf,1,BV1mwtAejExk,1,0.43748,3
9,4035,BV1DrnBzhEqf,1,BV1w79mYLEgR,1,0.45519,2
9,5374,BV1DrnBzhEqf,1,BV1WwcJz2Eiz,1,0.38712,3
10,374,BV1xQnBz9E3x,1,BV1cV411577U,1,0.50032,2
10,1751,BV1xQnBz9E3x,1,BV1fw411s7Yb,1,0.46755,4
10,4863,BV1xQnBz9E3x,1,BV1ehbYzGEo1,1,0.51063,1
10,5266,BV1xQnBz9E3x,1,BV1zVGAzsEni,1,0.472,3
11,158,BV14JxEzCEAp,1,BV1nY411i7Rk,1,0.50047,4
11,675,BV14JxEzCEAp,1,BV1Ud4y1t7FD,1,0.44227,3
11,1203,BV14JxEzCEAp,1,BV1rT4m1S7kU,1,0.55633,1
11,1510,BV14JxEzCEAp,1,BV1Xe41167ye,1,0.53859,2
11,4199,BV14JxEzCEAp,1,BV1fNKLejETA,1,0.51366,3
12,871,BV1LRW2zvE5j,1,BV1qd4y1Q7Mj,1,0.36142,4
12,1019,BV1LRW2zvE5j,1,BV1DPH5zaESH,1,0.53773,1
12,1892,BV1LRW2zvE5j,1,BV1ow41127GW,1,0.49576,2
12,2263,BV1LRW2zvE5j,1,BV11r421t7EW,1,0.49076,4
12,3070,BV1LRW2zvE5j,1,BV1uCxie6Ej8,1,0.49521,3
13,1476,BV1fNsTzbEp2,1,BV1b5411B7Ab,1,0.51875,1
13,1703,BV1fNsTzbEp2,1,BV16N4y1R7My,1,0.49941,2
13,2412,BV1fNsTzbEp2,1,BV1N6421g7AM,1,0.41076,3
13,3902,BV1fNsTzbEp2,1,BV15eRdY8EXF,1,0.52926,2
13,5164,BV1fNsTzbEp2,1,BV1WSb9zSE6T,1,0.57259,1
13,5420,BV1fNsTzbEp2,1,BV1WbfJB3ENL,1,0.51649,4
13,5591,BV1fNsTzbEp2,1,BV1txr2BjEmu,1,0.46553,4
13,5760,BV1fNsTzbEp2,1,BV1hCBQBbE6G,1,0.46798,2
14,1955,BV1qhxUz2ET9,1,BV1Cz4y1u79T,1,0.44091,1
14,2023,BV1qhxUz2ET9,1,BV12Lvpe9Eeu,1,0.3768,4
14,3217,BV1qhxUz2ET9,1,BV1U2x7eRERp,1,0.37703,3
14,3947,BV1qhxUz2ET9,1,BV1xfofYoEwZ,1,0.41103,2
15,307,BV1yNWXzAEJa,1,BV1CK4y1D7yJ,1,0.32816,4
15,1137,BV1yNWXzAEJa,1,BV1Xv421174j,1,0.36468,2
15,3351,BV1yNWXzAEJa,1,BV1PZpMe2ENo,2,0.42876,1
15,4834,BV1yNWXzAEJa,1,BV1HAYSzgEbT,1,0.347,3
16,507,BV1gnWdzSEG4,1,BV1tX4y1v7J7,1,0.58492,2
16,584,BV1gnWdzSEG4,1,BV14c411g7Xn,1,0.51253,2
16,706,BV1gnWdzSEG4,1,BV15e4y177TD,1,0.42311,3
16,971,BV1gnWdzSEG4,1,BV1i5411o715,1,0.41933,3
16,1240,BV1gnWdzSEG4,1,BV1ue411H7y6,1,0.58721,3
16,4554,BV1gnWdzSEG4,1,BV1ZrnGzvEx7,1,0.60447,2
16,4836,BV1gnWdzSEG4,1,BV1C1ejzxERZ,1,0.61261,1
17,341,BV1qxWRz4E1p,1,BV1fS4y1e7Yz,1,0.37978,4
17,2985,BV1qxWRz4E1p,1,BV1qJDwYvEWH,1,0.41261,2
17,4240,BV1qxWRz4E1p,1,BV1LQNEeUE9D,1,0.44382,1
17,5338,BV1qxWRz4E1p,1,BV1mScqzqE2X,1,0.38775,3
18,642,BV1bcW1zXEQt,1,BV1Y8411p7m5,1,0.44178,2
18,954,BV1bcW1zXEQt,1,BV1D3411K7AV,1,0.41067,2
18,4808,BV1bcW1zXEQt,1,BV1GQh9zKEm1,1,0.48664,1
18,4814,BV1bcW1zXEQt,1,BV1UHvAztELq,1,0.40425,3
18,5372,BV1bcW1zXEQt,1,BV13JPFz5Eqw,1,0.40116,3
18,5495,BV1bcW1zXEQt,1,BV1jTZbBWE2W,1,0.48611,1
18,5527,BV1bcW1zXEQt,1,BV1xfcEzUE73,1,0.41917,3
19,163,BV1kys3zEE8B,1,BV1KZ4y1i7rW,2,0.61216,3
19,562,BV1kys3zEE8B,1,BV1MW4y1R7tY,1,0.68401,2
19,658,BV1kys3zEE8B,1,BV1MW4y177Vi,1,0.47928,2
19,982,BV1kys3zEE8B,1,BV1NY411n7gw,1,0.55711,1
19,1425,BV1kys3zEE8B,1,BV16N4y1x7e4,1,0.55773,3
19,2179,BV1kys3zEE8B,1,BV1tJ4m1H78U,1,0.69031,4
19,2451,BV1kys3zEE8B,1,BV1j9ycB3ENV,1,0.69154,3
19,2542,BV1kys3zEE8B,1,BV1zKCrYAECm,1,0.70464,2
19,2704,BV1kys3zEE8B,1,BV17wqRYDEyN,1,0.73168,1
19,2911,BV1kys3zEE8B,1,BV1WPmfYwEbQ,1,0.74616,1
19,3295,BV1kys3zEE8B,1,BV1mwtAejExk,1,0.60151,3
19,3543,BV1kys3zEE8B,1,BV1S67KzcEsU,1,0.6738,3
19,3652,BV1kys3zEE8B,1,BV1C9EdzbEPP,2,0.55979,2
19,3703,BV1kys3zEE8B,1,BV1vFETz3ESw,1,0.62557,2
19,4351,BV1kys3zEE8B,1,BV1T6fJYsE1Y,1,0.61639,4
19,4725,BV1kys3zEE8B,1,BV1DiYyzGEd8,1,0.72262,3
19,4876,BV1kys3zEE8B,1,BV1M9ePzaEwW,1,0.52433,4
