src,dst,src_bv_id,src_page,dst_bv_id,dst_page,similarity,rank
19,5053,BV1kys3zEE8B,1,BV19hbMzNEAV,1,0.58903,4
19,5180,BV1kys3zEE8B,1,BV1R3b1zCEm5,1,0.6968,2
19,5406,BV1kys3zEE8B,1,BV1h1fiBeEJA,1,0.71635,1
19,5525,BV1kys3zEE8B,1,BV1YBZtBVE3z,1,0.51591,4
19,5752,BV1kys3zEE8B,1,BV1V1vvBGEDW,2,0.68616,3
20,515,BV1UV4wziEjD,1,BV1JP411y7Zc,1,0.49946,4
20,1537,BV1UV4wziEjD,1,BV1Bc411y7Rr,1,0.38129,3
20,1549,BV1UV4wziEjD,1,BV1ni4y1a7aV,1,0.46951,4
20,2467,BV1UV4wziEjD,1,BV1LJC9BHEbr,1,0.48201,1
20,2722,BV1UV4wziEjD,1,BV1Vsq4YwEPa,1,0.52155,1
20,3925,BV1UV4wziEjD,1,BV15PCWY6ExC,1,0.50015,3
20,5122,BV1UV4wziEjD,1,BV12Jh7zHETi,1,0.45233,2
20,5351,BV1UV4wziEjD,1,BV1swACzQEX5,1,0.51857,2
21,509,BV19VW2zYEBb,1,BV19j411S7Nv,1,0.45751,1
21,924,BV19VW2zYEBb,1,BV1NY411A7uu,1,0.491,1
21,1341,BV19VW2zYEBb,1,BV1a64y177DS,1,0.46592,3
21,1591,BV19VW2zYEBb,1,BV1zw411x7v7,1,0.47001,1
21,1822,BV19VW2zYEBb,1,BV16w411C7sD,1,0.47718,3
21,2556,BV19VW2zYEBb,1,BV1V1cHe1Ej6,1,0.51365,4
21,2735,BV19VW2zYEBb,1,BV1YmqTYyEaT,1,0.47102,1
21,3475,BV19VW2zYEBb,1,BV1TENizyEQa,1,0.57155,1
21,3629,BV19VW2zYEBb,1,BV1Woj1zfEWy,1,0.45901,3
21,3913,BV19VW2zYEBb,1,BV1A8ZZYQEWn,1,0.48168,3
21,4135,BV19VW2zYEBb,1,BV19vAzeAEeo,1,0.52342,3
21,4327,BV19VW2zYEBb,1,BV1myfyYoEto,1,0.40793,3
21,4783,BV19VW2zYEBb,1,BV1SPeoz1EiS,1,0.51223,1
21,4790,BV19VW2zYEBb,1,BV1XdhvzSEc2,1,0.46583,4
21,5482,BV19VW2zYEBb,1,BV1E5cHzjEfW,1,0.56487,2
21,5539,BV19VW2zYEBb,1,BV1pEZEBKEYs,1,0.45108,4
22,346,BV1YSsNzDERc,1,BV1fA411P7Ge,1,0.45224,2
22,466,BV1YSsNzDERc,1,BV1Cm4y177kJ,1,0.37574,1
22,1574,BV1YSsNzDERc,1,BV16i4y1a7YN,1,0.39279,4
22,2040,BV1YSsNzDERc,1,BV1ctezeoEX6,1,0.3383,3
22,3240,BV1YSsNzDERc,1,BV1cotUeTEkN,1,0.43499,3
22,3409,BV1YSsNzDERc,1,BV1F72yBkEar,1,0.50802,1
22,5544,BV1YSsNzDERc,1,BV1FccizpEDp,1,0.38957,4
23,1568,BV1xMsKzBEsA,1,BV1A94y1P7Tx,1,0.63809,1
23,1647,BV1xMsKzBEsA,1,BV1qQ4y1H7KZ,1,0.61697,4
23,2451,BV1xMsKzBEsA,1,BV1j9ycB3ENV,1,0.62449,4
23,2905,BV1xMsKzBEsA,1,BV1ziUaYEEP9,1,0.64063,1
23,3154,BV1xMsKzBEsA,1,BV1574weWEAf,1,0.43306,4
23,3567,BV1xMsKzBEsA,1,BV1bajUzCEHH,1,0.6337,3
23,4938,BV1xMsKzBEsA,1,BV19gtdzwEFX,1,0.56456,2
23,5368,BV1xMsKzBEsA,1,BV1QeZ2BZEcx,1,0.58321,3
24,1731,BV1H5sKzeEyo,1,BV1ag4y197Mn,1,0.49163,1
24,2513,BV1H5sKzeEyo,1,BV1DGwjedEc5,1,0.31981,4
24,2889,BV1H5sKzeEyo,1,BV1u2UzYRETb,1,0.56369,2
24,3100,BV1H5sKzeEyo,1,BV1Fy2UYcEPc,1,0.44599,4
24,3274,BV1H5sKzeEyo,1,BV1Z84ZeQEBR,1,0.57078,1
24,3415,BV1H5sKzeEyo,1,BV17NUvB2E1S,1,0.5535,3
24,4623,BV1H5sKzeEyo,1,BV1MJMpz7Ek8,1,0.5534,4
25,572,BV1zisAzQE3A,1,BV1gL411y7PR,1,0.40621,2
25,1333,BV1zisAzQE3A,1,BV1mC4y1r7Hy,1,0.42147,1
25,1618,BV1zisAzQE3A,1,BV1kw41147ZG,1,0.34172,4
25,2853,BV1zisAzQE3A,1,BV1ZGBHYZERU,1,0.39869,3
25,3559,BV1zisAzQE3A,1,BV1SaEMzME6B,1,0.36084,3
25,3754,BV1zisAzQE3A,1,BV1uooKYEEYN,1,0.38755,4
25,4313,BV1zisAzQE3A,1,BV1XyFpe3ELB,1,0.32733,3
26,284,BV13bswzBE72,1,BV1Bp4y1g7VH,1,0.44406,1
26,685,BV13bswzBE72,1,BV1E84y1i7Z2,1,0.41992,2
26,2138,BV13bswzBE72,1,BV1pt411G7Rh,1,0.40113,3
26,2272,BV13bswzBE72,1,BV1iz421Z7Js,1,0.36396,2
26,2677,BV13bswzBE72,1,BV1ZxkCYAEmC,1,0.39929,4
26,4637,BV13bswzBE72,1,BV1wKpczmEqX,1,0.39886,3
27,819,BV1J2WxznEea,1,BV1tG4y1e7B5,1,0.51884,1
27,1125,BV1J2WxznEea,1,BV1F2421A7se,1,0.50042,4
27,2089,BV1J2WxznEea,1,BV1Lf42127TE,1,0.53284,1
27,2791,BV1J2WxznEea,1,BV1mBieYrEZd,1,0.59924,1
27,3338,BV1J2WxznEea,1,BV1WxHQeYEdJ,1,0.40234,2
27,3429,BV1J2WxznEea,1,BV12rUnBRE9b,1,0.55399,1
27,3699,BV1J2WxznEea,1,BV1fc5uzCE19,1,0.4967,4
27,4050,BV1J2WxznEea,1,BV1qpRKY9EbX,1,0.56249,3
27,4573,BV1J2WxznEea,1,BV11dJRzwESu,1,0.45709,2
27,4574,BV1J2WxznEea,1,BV1z4JCzpE9v,1,0.48775,4
27,5040,BV1J2WxznEea,1,BV1Beb5ztEjQ,1,0.58558,1
28,79,BV1tvWtziEKt,1,BV1iu4y1e7dB,1,0.47035,2
28,2560,BV1tvWtziEKt,1,BV1UmrzYBEaM,1,0.51217,1
28,3121,BV1tvWtziEKt,1,BV1vZijeRE6d,1,0.4283,4
28,4058,BV1tvWtziEKt,1,BV14Q94YhEc1,1,0.41471,3
28,5050,BV1tvWtziEKt,1,BV17qbNzeEGr,1,0.44799,3
29,2566,BV1VfWZzaEnc,1,BV1Vgr3YcEn2,1,0.36288,3
29,2628,BV1VfWZzaEnc,1,BV1hQk4Y3EJY,1,0.36009,4
29,4005,BV1VfWZzaEnc,1,BV1T3QNYaE8Q,1,0.39313,2
29,4307,BV1VfWZzaEnc,1,BV1qsFte8Ewh,1,0.3954,1
30,2476,BV1aVWhzEE26,1,BV1yECTBvEBp,1,0.43982,4
30,2505,BV1aVWhzEE26,1,BV1Pb6zYZE8r,1,0.50901,4
30,2945,BV1aVWhzEE26,1,BV1j1mzYaE2K,1,0.36911,3
30,4009,BV1aVWhzEE26,1,BV19uQpYdErb,1,0.5306,2
30,4187,BV1aVWhzEE26,1,BV1xuNkevE9C,1,0.39828,4
30,4821,BV1aVWhzEE26,1,BV11KeXzZE5D,1,0.524,3
30,4960,BV1aVWhzEE26,1,BV1GhbMzKEYV,1,0.59229,1
30,5244,BV1aVWhzEE26,1,BV1LDuHzcEni,1,0.40468,3
31,848,BV1aaxyz8EXD,1,BV1sB4y167tt,1,0.51235,4
31,2353,BV1aaxyz8EXD,1,BV1tx4y1C7h4,1,0.55529,4
31,2756,BV1aaxyz8EXD,1,BV1nNzqYkE69,1,0.56297,2
31,4101,BV1aaxyz8EXD,1,BV1nJNkeZEUx,1,0.56113,3
31,4561,BV1aaxyz8EXD,1,BV1cVnezNEnF,1,0.61813,1
31,5233,BV1aaxyz8EXD,1,BV1mPuazGE74,1,0.51156,4
32,1267,BV1JjsteAE2u,1,BV1Tt4y1d7Uh,1,0.46069,2
32,1325,BV1JjsteAE2u,1,BV1Q5411C73X,1,0.45806,4
32,1549,BV1JjsteAE2u,1,BV1ni4y1a7aV,1,0.45822,3
32,5116,BV1JjsteAE2u,1,BV1Wf8CzoEUG,1,0.4706,1
33,390,BV12xYqe4Eba,1,BV1yW411B78h,1,0.43023,3
33,1558,BV12xYqe4Eba,1,BV1Es4y1W7hr,1,0.49113,1
33,1899,BV12xYqe4Eba,1,BV1rp4y1w7hH,1,0.4222,3
33,2013,BV12xYqe4Eba,1,BV1Xi421h7xa,1,0.46907,3
33,3251,BV12xYqe4Eba,1,BV1SVtVeUE9X,1,0.44108,2
33,3556,BV12xYqe4Eba,1,BV1wi7DzCEac,1,0.37572,4
33,4714,BV12xYqe4Eba,1,BV1dYbGzJEwW,1,0.45621,3
33,5724,BV12xYqe4Eba,1,BV1MhvpBPEi6,1,0.44116,3
33,5818,BV12xYqe4Eba,1,BV1ZbqpBHEHW,1,0.4893,2
34,1555,BV1jQsgeLEgR,1,BV1aP4y1k7Qd,1,0.41326,4
34,2318,BV1jQsgeLEgR,1,BV1GS421w7AU,1,0.47448,1
34,2507,BV1jQsgeLEgR,1,BV1w7cfe8E24,1,0.44075,2
34,5534,BV1jQsgeLEgR,1,BV1xFcMzJEXm,1,0.43021,2
35,105,BV1SisteJEfd,1,BV1Sr4y197ju,1,0.46967,4
35,1263,BV1SisteJEfd,1,BV1tK4y1i7mV,1,0.49695,1
35,1506,BV1SisteJEfd,1,BV11G411k7ad,1,0.59552,1
35,1961,BV1SisteJEfd,1,BV1Cp4y1E7UT,1,0.60438,1
35,2070,BV1SisteJEfd,1,BV1dx4y1J7pf,1,0.57823,2
35,2207,BV1SisteJEfd,1,BV1uJ4m1n7jg,1,0.45868,3
35,2273,BV1SisteJEfd,1,BV1Cu4m1M7zA,1,0.4128,3
35,2819,BV1SisteJEfd,1,BV1iNzdYsEny,1,0.57269,3
35,2826,BV1SisteJEfd,1,BV1i8zpYFErF,1,0.59633,2
35,2958,BV1SisteJEfd,1,BV1AzDEYoEfE,1,0.43479,4
35,3842,BV1SisteJEfd,1,BV1NXX8YeEQN,1,0.49966,2
35,4786,BV1SisteJEfd,1,BV13BhozkEU5,1,0.48456,1
35,5304,BV1SisteJEfd,1,BV1tmwRzdEW4,1,0.42009,2
36,1003,BV1LusMeTE5p,1,BV1xjsdzjEPa,1,0.51953,2
36,1326,BV1LusMeTE5p,1,BV1Hc411x7Uv,1,0.50839,3
36,1629,BV1LusMeTE5p,1,BV1qg4y1o78J,1,0.43048,4
36,1690,BV1LusMeTE5p,1,BV1wH4y1m7Pc,1,0.50083,1
36,2017,BV1LusMeTE5p,1,BV1cm42137VV,1,0.56308,1
36,2088,BV1LusMeTE5p,1,BV1H7KkeKEd3,1,0.49683,3
36,2125,BV1LusMeTE5p,1,BV1SZ421x7c4,1,0.40907,4
36,2734,BV1LusMeTE5p,1,BV1MTqGY7EGP,1,0.47658,3
36,2784,BV1LusMeTE5p,1,BV1vFikY6ESk,1,0.39628,4
36,3079,BV1LusMeTE5p,1,BV1gKmGY5Exb,1,0.46838,3
36,3597,BV1LusMeTE5p,1,BV19i7kzzEyB,1,0.46676,2
36,4427,BV1LusMeTE5p,1,BV1Zkx1zrEjH,1,0.48802,1
36,4975,BV1LusMeTE5p,1,BV1bDtQz7E13,1,0.44419,1
36,5512,BV1LusMeTE5p,1,BV1RGZQBEEtf,1,0.46756,2
37,561,BV1nFsMeVE7o,1,BV15X4y1a7Fq,1,0.41996,4
37,1746,BV1nFsMeVE7o,1,BV1qa4y1S7NE,1,0.46276,3
37,4474,BV1nFsMeVE7o,1,BV1csHGz3E7C,1,0.47206,2
37,5677,BV1nFsMeVE7o,1,BV1FGi9BrE3P,1,0.49069,1
37,5789,BV1nFsMeVE7o,1,BV1vqBMBCETk,1,0.4598,4
38,2155,BV1dnsAepEFP,1,BV1um421u7f1,1,0.37869,4
38,2779,BV1dnsAepEFP,1,BV1DbqLYfENW,1,0.46555,2
38,3495,BV1dnsAepEFP,1,BV1NFMgzkEpc,1,0.4505,3
38,3714,BV1dnsAepEFP,1,BV1cYdeYyEY1,1,0.42788,1
38,4420,BV1dnsAepEFP,1,BV11j4iz8EyS,1,0.44151,4
38,5619,BV1dnsAepEFP,1,BV1wHrSB2Eia,1,0.42935,4
38,5697,BV1dnsAepEFP,1,BV1DbBRBvE46,1,0.46716,1
39,734,BV1Vm421j7Ev,1,BV12g411i7es,1,0.45569,1
39,736,BV1Vm421j7Ev,1,BV1Kt4y1F7i2,1,0.42817,3
39,1443,BV1Vm421j7Ev,1,BV1Ha4y1m7S1,1,0.43515,2
39,1497,BV1Vm421j7Ev,1,BV1UC4y1M7LA,1,0.3235,3
39,1758,BV1Vm421j7Ev,1,BV1b94y1G7ky,1,0.35812,3
39,5276,BV1Vm421j7Ev,1,BV1VyGwz5Eq3,1,0.4267,1
40,210,BV1nZ421B7X8,1,BV1m8411R7os,1,0.48956,2
40,298,BV1nZ421B7X8,1,BV1bu4y127Tq,3,0.50182,1
40,970,BV1nZ421B7X8,1,BV1U3411p7ga,1,0.36102,2
40,2042,BV1nZ421B7X8,1,BV1X2ezeCEcS,1,0.48429,3
40,4456,BV1nZ421B7X8,1,BV1q4nizAEEN,1,0.4552,4
41,3327,BV1Um411k758,1,BV1RWpiekEkU,1,0.4205,3
41,3768,BV1Um411k758,1,BV11AoTYVEDe,1,0.48846,1
41,4043,BV1Um411k758,1,BV167AxeMEbB,1,0.44054,2
41,4909,BV1Um411k758,1,BV1PPbBzKELz,1,0.4166,4
42,1301,BV18x4y117bo,1,BV1Ea4y1z72c,1,0.57583,2
42,1314,BV18x4y117bo,1,BV1Ze411J7an,1,0.54601,1
42,1531,BV18x4y117bo,1,BV1D94y1A7HH,1,0.54327,2
42,1566,BV18x4y117bo,1,BV1Qp4y1o7hp,1,0.56838,3
42,4401,BV18x4y117bo,1,BV1y2WEzTEsy,1,0.65322,1
42,4566,BV18x4y117bo,1,BV1YFJRz6E9W,2,0.56824,3
42,5536,BV18x4y117bo,1,BV1qd6cBNERK,1,0.50758,4
43,862,BV1pB421z7LG,1,BV1fW4y1a7DN,1,0.5459,3
43,1679,BV1pB421z7LG,1,BV1RN4y127rt,1,0.55255,2
43,1714,BV1pB421z7LG,1,BV1DC4y127Bj,1,0.41072,4
43,2406,BV1pB421z7LG,1,BV16v421y7Sx,1,0.48482,4
43,2530,BV1pB421z7LG,1,BV1RKc2eEEvm,1,0.53625,4
43,2975,BV1pB421z7LG,1,BV1muDMYiEYV,1,0.56703,1
43,3751,BV1pB421z7LG,1,BV1tz54zrES5,1,0.52162,2
43,5770,BV1pB421z7LG,1,BV1gqmNBJESB,1,0.48329,1
44,991,BV1h4421c7WD,1,BV1gZ4y1B7rm,1,0.43987,2
44,1413,BV1h4421c7WD,1,BV1dp4y1d71o,1,0.47666,1
44,1516,BV1h4421c7WD,1,BV1NQ4y137U6,1,0.43547,3
44,3235,BV1h4421c7WD,1,BV118skeSE7V,1,0.43062,4
45,1079,BV1wu4m1K78N,1,BV1Xz421o7Ku,1,0.42852,4
45,3727,BV1wu4m1K78N,1,BV1uz5MzfExY,1,0.50199,2
45,3815,BV1wu4m1K78N,1,BV1d6L3zUE6P,1,0.38036,4
45,4217,BV1wu4m1K78N,1,BV1h8Noe7ERt,1,0.46564,4
45,5383,BV1wu4m1K78N,1,BV1YZAzzoEGj,1,0.51353,1
45,5804,BV1wu4m1K78N,1,BV15vq1B2E1x,1,0.4977,3
46,146,BV1YA4m157LD,1,BV1hN411z7ej,1,0.41333,2
46,505,BV1YA4m157LD,1,BV1Es4y1q7Nw,1,0.43107,4
46,1050,BV1YA4m157LD,1,BV1Z5sVz2EPJ,1,0.37878,2
46,1128,BV1YA4m157LD,1,BV1DJ4m1s7Ki,1,0.46118,3
46,2036,BV1YA4m157LD,1,BV1tM4m1y7HD,1,0.52403,1
46,2606,BV1YA4m157LD,1,BV1zk6EYtEx9,1,0.38789,1
46,4906,BV1YA4m157LD,1,BV1Xk8RzTEZg,1,0.47772,2
47,919,BV1XJ4m1s7k8,1,BV1cW4y1C7xr,1,0.52647,1
47,1032,BV1XJ4m1s7k8,1,BV1Ccspz7Ebg,1,0.49681,3
